Zone17,HH
1788,8
1789,833
1790,0
1791,553
1792,398
1793,558
1794,954
1795,769
1796,858
1797,431
1798,531
1799,1959
1800,1500
1801,2766
1802,521
1803,378
1804,602
1805,461
1806,2295
1807,2201
1808,1824
1809,990
1810,730
1811,1455
1812,3405
1813,1136
1814,1334
1815,703
1816,1605
1817,6401
1818,800
1819,1419
1820,1041
1821,598
1822,1367
1823,997
1824,125
1825,661
1826,1602
1827,1511
1828,1179
1829,582
1830,410
1831,598
1832,362
1833,1145
1834,550
1835,750
1836,660
1837,615
1838,402
1839,1866
1840,1454
1841,1134
1842,2159
1843,943
1844,592
1845,826
1846,3
1847,0
1848,1692
1849,1438
1850,1300
1851,1538
1852,2291
1853,304
1854,214
1855,963
1856,958
1857,1342
1858,1418
1859,347
1860,0
1861,718
1862,1657
1863,2683
1864,364
1865,545
1866,497
1867,517
1868,2217
1869,1165
1870,1363
1871,566
1872,480
1873,1047
1874,352
1875,673
1876,932
1877,405
1878,1234
1879,207
1880,528
1881,1449
1882,1501
1883,1066
1884,585
1885,374
1886,677
1887,2479
1888,1906
1889,426
1890,1190
1891,881
1892,609
1893,526
1894,676
1895,505
1896,592
1897,1639
1898,705
1899,389
1900,382
1901,371
1902,1752
1903,2137
1904,1738
1905,909
1906,172
1907,2149
1908,763
1909,1083
1910,0
1911,950
1912,665
1913,192
1914,1533
1915,463
1916,589
1917,267
1918,280
1919,1142
1920,538
1921,1085
1922,460
1923,314
1924,80
1925,720
1926,130
1927,202
1928,594
1929,777
1930,561
1931,938
1932,2443
1933,1458
1934,2587
1935,1562
1936,1601
1937,1241
1938,2078
1939,1783
1940,3098
1941,1548
1942,2700
1943,1624
1944,1975
1945,2344
1946,1255
1947,1485
1948,2195
1949,2991
1950,1658
1951,709
1952,1710
1953,2788
1954,150
1955,1190
1956,120
1957,30
1958,0
1959,242
1960,1519
1961,312
1962,1204
1963,509
1964,612
1965,831
1966,1903
1967,1977
1968,2442
1969,341
1970,1313
1971,376
1972,484
1973,461
1974,751
1975,1408
1976,1064
1977,1128
1978,2226
1979,308
1980,809
1981,0
1982,743
1983,498
1984,804
1985,402
1986,472
1987,609
1988,823
1989,631
1990,1383
1991,1
1992,219
1993,1222
1994,1435
1995,638
1996,777
1997,181
1998,126
1999,50
2000,940
2001,630
2002,81
2003,1481
2004,2240
2005,2990
2006,2428
2007,344
2008,488
2009,911
2010,1270
2011,1134
2012,616
2013,476
2014,474
2015,2275
2016,2834
2017,2558
2018,2478
2019,2670
2020,1921
2021,1684
2022,1897
2023,2039
2024,1373
2025,2758
2026,1939
2027,3620
2028,1368
2029,398
2030,252
2031,1638
2032,365
2033,1350
2034,930
2035,295
2036,1271
2037,405
2038,1696
2039,228
2040,394
2041,623
2042,629
2043,78
2044,299
2045,676
2046,947
2047,1427
2048,1274
2049,175
2050,596
2051,984
2052,961
2053,242
2054,563
2055,457
2056,2270
2057,2297
2058,939
2059,1440
2060,1248
2061,4205
2062,2551
2063,2098
2064,2153
2065,1116
2066,1645
2067,1516
2068,945
2069,1118
2070,635
2071,549
2072,2120
2073,1561
2074,975
2075,403
2076,86
2077,1512
2078,1744
2079,1790
2080,1050
2081,1245
2082,338
2083,673
2084,1690
2085,92
2086,313
2087,1093
2088,218
2089,823
2090,144
2091,529
2092,1099
2093,187
2094,290
2095,179
2096,1637
2097,606
2098,1625
2099,2200
2100,589
2101,381
2102,1437
2103,1571
2104,1948
2105,1579
2106,1132
2107,903
2108,2344
2109,684
2110,3250
2111,628
2112,472
2113,1921
2114,1348
2115,2561
2116,2298
2117,1095
2118,90
2119,167
2120,114
2121,223
2122,631
2123,174
2124,148
2125,52
2126,56
2127,248
2128,134
2129,59
2130,147
2131,375
2132,3898
2133,1368
2134,3060
2135,3911
2136,169
2137,2296
2138,224
2139,2795
2140,1186
2141,2248
2142,1635
2143,2153
2144,3019
2145,2035
2146,643
2147,1295
2148,1060
2149,3962
2150,128
2151,1268
2152,7
2153,66
2154,137
2155,1265
2156,1083
2157,1171
2158,3948
2159,1652
2160,1924
2161,1712
2162,1601
2163,33
2164,1992
2165,523
2166,798
2167,975
2168,1187
2169,1765
2170,1698
2171,1198
2172,1854
2173,1337
2174,84
2175,645
2176,1086
2177,1223
2178,785
2179,609
2180,507
2181,1770
2182,1996
2183,1990
2184,309
2185,1125
2186,1154
2187,3008
2188,3400
2189,1521
2190,755
2191,654
2192,663
2193,430
2194,1468
2195,620
2196,589
2197,193
2198,489
2199,708
2200,1303
2201,800
2202,850
2203,1524
2204,791
2205,1616
2206,812
2207,1596
2208,2307
2209,2421
2210,655
2211,669
2212,443
2213,490
2214,1607
2215,1067
2216,1798
2217,246
2218,249
2219,1461
2220,607
2221,1745
2222,2192
2223,1692
2224,531
2225,1283
2226,2091
2227,2431
2228,1710
2229,2309
2230,423
2231,397
2232,1389
2233,1449
2234,3167
2235,1503
2236,2027
2237,1341
2238,373
2239,2648
2240,2262
2241,2842
2242,703
2243,1093
2244,3314
2245,1707
2246,3386
2247,2026
2248,1962
2249,1523
2250,534
2251,1944
2252,649
2253,508
2254,2271
2255,4386
2256,3651
2257,663
2258,1172
2259,1092
2260,1393
2261,1126
2262,1429
2263,3722
2264,2880
2265,2571
2266,938
2267,57
2268,1230
2269,307
2270,2384
2271,2125
2272,2110
2273,2800
2274,1181
2275,1401
2276,1981
2277,977
2278,1243
2279,724
2280,335
2281,854
2282,729
2283,1436
2284,435
2285,338
2286,2215
2287,1317
2288,1383
2289,324
2290,1539
2291,4719
2292,1206
2293,4996
2294,1367
2295,481
2296,296
2297,651
2298,1685
2299,2184
2300,1194
2301,681
2302,393
2303,571
2304,215
2305,714
2306,148
2307,2478
2308,10352
2309,861
2310,4937
2311,2565
2312,2643
2313,10081
2314,1166
2315,6291
2316,4436
2317,2292
2318,6024
2319,2219
2320,656
2321,2808
2322,7858
2323,1068
2324,361
2325,6103
2326,448
2327,1613
2328,2
2329,1287
2330,2474
2331,3034
2332,3108
2333,2099
2334,1774
2335,3013
2336,2775
2337,2020
2338,1275
2339,1470
2340,1144
2341,2006
2342,1128
2343,4322
2344,781
2345,2549
2346,1216
2347,746
2348,335
2349,2720
2350,5175
2351,799
2352,226
2353,1647
2354,1227
2355,933
2356,964
2357,3155
2358,2372
2359,2626
2360,4546
2361,3315
2362,1362
2363,1365
2364,2394
2365,2574
2366,1400
2367,998
2368,1020
2369,350
2370,2042
2371,3052
2372,6053
2373,2119
2374,458
2375,601
2376,1200
2377,1570
2378,1784
2379,369
2380,653
2381,736
2382,4491
2383,152
2384,1429
2385,4416
2386,1324
2387,1835
2388,1046
2389,3712
2390,3246
2391,767
2392,1764
2393,3778
2394,1047
2395,164
2396,289
2397,249
2398,1906
2399,2109
2400,1571
2401,3831
2402,1386
2403,1239
2404,886
2405,1239
2406,897
2407,1899
2408,1276
2409,813
2410,1018
2411,1180
2412,593
2413,519
2414,3743
2415,2782
2416,1882
2417,617
2418,1358
2419,1714
2420,1071
2421,1252
2422,1672
2423,1294
2424,983
2425,181
2426,661
2427,276
2428,437
2429,887
2430,700
2431,270
2432,1023
2433,2001
2434,563
2435,1540
2436,2546
2437,2083
2438,1474
2439,1621
2440,260
2441,734
2442,1305
2443,420
2444,1384
2445,1218
2446,2551
2447,1006
2448,489
2449,445
2450,107
2451,330
2452,895
2453,1652
2454,171
2455,921
2456,1016
2457,1680
2458,3193
2459,6036
2460,313
2461,3673
2462,2171
2463,2414
2464,317
2465,570
2466,382
2467,94
2468,1089
2469,2670
2470,1680
2471,432
2472,1726
2473,1008
2474,4633
2475,2602
2476,4779
2477,598
2478,1428
2479,385
2480,72
2481,1986
2482,391
2483,788
2484,93
2485,1061
2486,1974
2487,25
2488,1438
2489,432
2490,194
2491,638
2492,1033
2493,1054
2494,810
2495,105
2496,487
2497,510
2498,851
2499,1053
2500,0
2501,1165
2502,1342
2503,520
2504,407
2505,3738
2506,594
2507,5025
2508,775
2509,740
2510,480
2511,842
2512,253
2513,716
2514,273
2515,624
2516,393
2517,1158
2518,1257
2519,846
2520,245
2521,796
2522,422
2523,612
2524,1179
2525,1311
2526,918
2527,79
2528,0
2529,543
2530,3101
2531,353
2532,1237
2533,74
2534,0
2535,0
2536,267
2537,29
2538,711
2539,661
2540,27
2541,334
2542,646
2543,1107
2544,456
2545,114
2546,1691
2547,359
2548,184
2549,1112
2550,206
2551,239
2552,326
2553,579
2554,300
2555,841
2556,410
2557,707
2558,1129
2559,275
2560,205
2561,403
2562,431
2563,1114
2564,1084
2565,340
2566,828
2567,235
2568,332
2569,581
2570,794
2571,4131
2572,434
2573,1721
2574,1565
2575,970
2576,1549
2577,824
2578,696
2579,1843
2580,1266
2581,1257
2582,457
2583,2173
2584,79
2585,97
2586,277
2587,4369
2588,549
2589,1501
2590,45
2591,185
2592,60
2593,528
2594,427
2595,4086
2596,242
2597,1426
2598,52
2599,91
2600,128
2601,232
2602,1316
2603,192
2604,220
2605,207
2606,167
2607,600
2608,313
2609,577
2610,243
2611,255
2612,772
2613,75
2614,1149
2615,1602
2616,1185
2617,98
2618,798
2619,165
2620,131
2621,1813
2622,5569
2623,956
2624,3511
2625,976
2626,1582
2627,1765
2628,1789
2629,303
2630,1389
2631,1858
2632,583
2633,113
2634,176
2635,780
2636,4583
2637,1140
2638,362
2639,5115
2640,792
2641,3341
2642,2255
2643,4482
2644,3211
2645,1358
2646,1390
2647,544
2648,167
2649,1556
2650,846
2651,1326
2652,1964
2653,365
2654,817
2655,2997
2656,4977
2657,1840
2658,2479
2659,1946
2660,970
2661,4265
2662,6497
2663,1916
2664,1055
2665,11
2666,237
2667,997
2668,1177
2669,2055
2670,655
2671,1251
2672,1936
2673,960
2674,3465
2675,3335
2676,2677
2677,1593
2678,1276
2679,1289
2680,2145
2681,1936
2682,443
2683,374
2684,802
2685,849
2686,813
2687,0
2688,448
2689,1008
2690,3790
2691,2737
2692,5012
2693,1218
2694,3842
2695,4090
2696,1394
2697,1056
2698,1051
2699,384
2700,5354
2701,2345
2702,290
2703,7801
2704,8821
2705,7501
2706,3322
2707,5633
2708,4312
2709,4003
2710,2888
2711,2938
2712,2461
