Zone17,HH
1,759
2,2041
3,1045
4,2545
5,2210
6,1034
7,5826
7,5826
8,144
9,1382
10,1789
11,851
12,1423
13,1695
14,1514
15,1457
16,609
17,1643
18,165
19,4349
19,4349
20,986
21,366
22,636
23,199
24,1484
25,3313
25,3313
26,1478
27,1589
28,0
29,187
30,394
31,0
31,0
32,491
33,440
34,479
35,1137
36,317
37,0
38,3
39,1235
40,2353
41,926
42,0
42,0
43,0
44,0
45,349
46,899
47,1930
48,1755
49,215
50,2580
51,7361
52,4043
53,2430
54,357
55,1606
56,7883
57,8124
58,2430
59,1807
60,590
61,1810
62,1810
63,2512
64,2532
65,871
66,960
67,2283
68,273
69,918
70,6748
71,0
71,0
72,2169
73,2190
74,769
75,1617
76,4879
77,0
77,0
78,2593
79,666
80,1407
81,2105
82,3209
83,2486
84,2968
85,2279
86,113
87,1687
88,2542
89,3894
89,3894
90,2376
91,2969
92,2907
93,3350
94,1841
95,1814
96,774
97,722
98,1612
99,1012
100,1060
101,0
102,55
103,130
104,2426
105,2541
106,1883
107,324
108,40
109,110
110,747
111,1827
112,433
113,0
114,0
115,0
116,1269
117,1482
118,2572
119,2014
120,1388
121,1516
122,0
122,0
122,0
122,0
123,0
123,0
123,0
123,0
124,480
124,480
124,480
124,480
125,0
125,0
125,0
125,0
125,0
125,0
125,0
125,0
125,0
125,0
125,0
125,0
126,0
126,0
126,0
126,0
126,0
126,0
127,557
127,557
127,557
128,380
128,380
128,380
129,0
129,0
129,0
129,0
130,0
130,0
130,0
130,0
131,407
132,124
133,267
133,267
133,267
133,267
134,697
135,4280
136,1661
137,1451
137,1451
137,1451
137,1451
138,2052
138,2052
138,2052
138,2052
139,507
139,507
139,507
139,507
140,2249
140,2249
140,2249
140,2249
141,1042
142,758
143,1335
144,801
145,1025
146,737
147,781
148,681
149,1219
150,941
151,3836
151,3836
151,3836
151,3836
152,4650
152,4650
152,4650
152,4650
153,1633
154,517
155,749
156,391
157,603
158,49
159,369
160,682
161,1114
162,1041
163,2230
164,3107
165,1660
166,4709
166,4709
167,1749
168,2024
169,1859
170,1652
171,2164
172,2080
173,1534
174,2808
175,3498
176,642
177,5401
178,999
179,512
180,999
181,779
182,580
183,1335
184,1005
185,239
186,1161
187,651
188,350
189,201
190,126
191,800
192,799
193,669
194,441
195,690
196,561
197,772
198,1789
199,2243
200,2345
201,655
202,2183
203,3994
203,3994
203,3994
203,3994
204,852
205,1865
206,1285
207,1261
208,1345
209,684
210,1624
211,1316
212,1090
213,362
213,362
214,1217
215,1526
216,0
217,2234
218,2125
219,2691
220,786
221,1544
222,3288
223,1034
224,694
225,5874
225,5874
225,5874
225,5874
226,1184
227,1755
228,1908
229,1037
230,1058
231,585
232,1733
233,2201
234,3172
235,1846
236,2557
237,2562
238,2441
239,2528
240,1106
241,2791
242,1517
243,1156
244,331
