TAZ,cbd,chicago,cmap,CountyFIPS,county,state,township,sqmi,Mesozone,county_state,DistrictNum,DistrictName
1,1,1,1,17031,COOK,IL,3914,0.0633235073954,17,"COOK, IL",1,Chicago
2,1,1,1,17031,COOK,IL,3914,0.0627850977773,17,"COOK, IL",1,Chicago
3,1,1,1,17031,COOK,IL,3914,0.0640786161123,17,"COOK, IL",1,Chicago
4,1,1,1,17031,COOK,IL,3914,0.0625029602805,17,"COOK, IL",1,Chicago
5,1,1,1,17031,COOK,IL,3914,0.0634580153556,17,"COOK, IL",1,Chicago
6,1,1,1,17031,COOK,IL,3914,0.0638396638457,17,"COOK, IL",1,Chicago
7,1,1,1,17031,COOK,IL,3914,0.530525666791,17,"COOK, IL",1,Chicago
8,1,1,1,17031,COOK,IL,3914,0.0642165693609,17,"COOK, IL",1,Chicago
9,1,1,1,17031,COOK,IL,3914,0.0633655407814,17,"COOK, IL",1,Chicago
10,1,1,1,17031,COOK,IL,3914,0.0642222970168,17,"COOK, IL",1,Chicago
11,1,1,1,17031,COOK,IL,3914,0.0631092502072,17,"COOK, IL",1,Chicago
12,1,1,1,17031,COOK,IL,3914,0.0626482629178,17,"COOK, IL",1,Chicago
13,1,1,1,17031,COOK,IL,3914,0.0624412394468,17,"COOK, IL",1,Chicago
14,1,1,1,17031,COOK,IL,3914,0.0640086892532,17,"COOK, IL",1,Chicago
15,1,1,1,17031,COOK,IL,3914,0.0636351133981,17,"COOK, IL",1,Chicago
16,1,1,1,17031,COOK,IL,3914,0.0637220830137,17,"COOK, IL",1,Chicago
17,1,1,1,17031,COOK,IL,3914,0.0636044046724,17,"COOK, IL",1,Chicago
18,1,1,1,17031,COOK,IL,3914,0.0634233809161,17,"COOK, IL",1,Chicago
19,1,1,1,17031,COOK,IL,3914,0.176763294854,17,"COOK, IL",1,Chicago
20,1,1,1,17031,COOK,IL,3914,0.0626632988196,17,"COOK, IL",1,Chicago
21,1,1,1,17031,COOK,IL,3914,0.0632897649473,17,"COOK, IL",1,Chicago
22,1,1,1,17031,COOK,IL,3914,0.063164635802,17,"COOK, IL",1,Chicago
23,1,1,1,17031,COOK,IL,3914,0.0633275140415,17,"COOK, IL",1,Chicago
24,1,1,1,17031,COOK,IL,3914,0.0631541861248,17,"COOK, IL",1,Chicago
25,1,1,1,17031,COOK,IL,3914,0.15692132421,17,"COOK, IL",1,Chicago
26,1,1,1,17031,COOK,IL,3914,0.0644753843521,17,"COOK, IL",1,Chicago
27,1,1,1,17031,COOK,IL,3914,0.0642625251363,17,"COOK, IL",1,Chicago
28,1,1,1,17031,COOK,IL,3914,0.0642723451192,17,"COOK, IL",1,Chicago
29,1,1,1,17031,COOK,IL,3914,0.0644644437291,17,"COOK, IL",1,Chicago
30,1,1,1,17031,COOK,IL,3914,0.0640963861195,17,"COOK, IL",1,Chicago
31,1,1,1,17031,COOK,IL,3914,0.230497822537,17,"COOK, IL",1,Chicago
32,1,1,1,17031,COOK,IL,3914,0.0634029490098,17,"COOK, IL",1,Chicago
33,1,1,1,17031,COOK,IL,3914,0.0622871089971,17,"COOK, IL",1,Chicago
34,1,1,1,17031,COOK,IL,3914,0.0629762322278,17,"COOK, IL",1,Chicago
35,1,1,1,17031,COOK,IL,3914,0.0623758342825,17,"COOK, IL",1,Chicago
36,1,1,1,17031,COOK,IL,3914,0.0624065842471,17,"COOK, IL",1,Chicago
37,1,1,1,17031,COOK,IL,3914,0.0677568858007,17,"COOK, IL",1,Chicago
38,1,1,1,17031,COOK,IL,3914,0.0653298203082,17,"COOK, IL",1,Chicago
39,1,1,1,17031,COOK,IL,3914,0.066869303239,17,"COOK, IL",1,Chicago
40,1,1,1,17031,COOK,IL,3914,0.065470658349,17,"COOK, IL",1,Chicago
41,1,1,1,17031,COOK,IL,3914,0.0661656265439,17,"COOK, IL",1,Chicago
42,1,1,1,17031,COOK,IL,3914,0.250365994444,17,"COOK, IL",1,Chicago
43,1,1,1,17031,COOK,IL,3914,0.0617392471579,17,"COOK, IL",1,Chicago
44,1,1,1,17031,COOK,IL,3914,0.0587844465039,17,"COOK, IL",1,Chicago
45,1,1,1,17031,COOK,IL,3914,0.0615495721088,17,"COOK, IL",1,Chicago
46,1,1,1,17031,COOK,IL,3914,0.0593768456755,17,"COOK, IL",1,Chicago
47,1,1,1,17031,COOK,IL,3914,0.0598305410415,17,"COOK, IL",1,Chicago
48,0,1,1,17031,COOK,IL,3914,0.250738354083,17,"COOK, IL",1,Chicago
49,0,1,1,17031,COOK,IL,3914,0.251024424469,17,"COOK, IL",1,Chicago
50,0,1,1,17031,COOK,IL,3914,0.252613293061,17,"COOK, IL",1,Chicago
51,0,1,1,17031,COOK,IL,3914,0.253589521539,17,"COOK, IL",1,Chicago
52,0,1,1,17031,COOK,IL,3914,0.161605986813,17,"COOK, IL",1,Chicago
53,0,1,1,17031,COOK,IL,3914,0.250355892746,17,"COOK, IL",1,Chicago
54,0,1,1,17031,COOK,IL,3914,0.250356852967,17,"COOK, IL",1,Chicago
55,0,1,1,17031,COOK,IL,3914,0.251508068216,17,"COOK, IL",1,Chicago
56,0,1,1,17031,COOK,IL,3914,0.251489749041,17,"COOK, IL",1,Chicago
57,0,1,1,17031,COOK,IL,3914,0.294269156004,17,"COOK, IL",1,Chicago
58,0,1,1,17031,COOK,IL,3914,0.252895248732,17,"COOK, IL",1,Chicago
59,0,1,1,17031,COOK,IL,3914,0.252494504963,17,"COOK, IL",1,Chicago
60,0,1,1,17031,COOK,IL,3914,0.25273742603,17,"COOK, IL",1,Chicago
61,0,1,1,17031,COOK,IL,3914,0.252353249628,17,"COOK, IL",1,Chicago
62,0,1,1,17031,COOK,IL,3914,0.253464349443,17,"COOK, IL",1,Chicago
63,0,1,1,17031,COOK,IL,3914,0.25363935265,17,"COOK, IL",1,Chicago
64,0,1,1,17031,COOK,IL,3914,0.25356910485,17,"COOK, IL",1,Chicago
65,0,1,1,17031,COOK,IL,3914,0.253775213192,17,"COOK, IL",1,Chicago
66,0,1,1,17031,COOK,IL,3914,0.251555402035,17,"COOK, IL",1,Chicago
67,0,1,1,17031,COOK,IL,3914,0.251411876945,17,"COOK, IL",1,Chicago
68,0,1,1,17031,COOK,IL,3914,0.250554646852,17,"COOK, IL",1,Chicago
69,0,1,1,17031,COOK,IL,3914,0.250789987185,17,"COOK, IL",1,Chicago
70,0,1,1,17031,COOK,IL,3914,0.251932564467,17,"COOK, IL",1,Chicago
71,0,1,1,17031,COOK,IL,3914,0.359154949398,17,"COOK, IL",1,Chicago
72,0,1,1,17031,COOK,IL,3914,0.252122076394,17,"COOK, IL",1,Chicago
73,0,1,1,17031,COOK,IL,3914,0.252006249513,17,"COOK, IL",1,Chicago
74,0,1,1,17031,COOK,IL,3914,0.250483495925,17,"COOK, IL",1,Chicago
75,0,1,1,17031,COOK,IL,3914,0.250690012002,17,"COOK, IL",1,Chicago
76,0,1,1,17031,COOK,IL,3914,0.25187247238,17,"COOK, IL",1,Chicago
77,0,1,1,17031,COOK,IL,3914,0.34235887049,17,"COOK, IL",1,Chicago
78,0,1,1,17031,COOK,IL,4014,0.255775370568,14,"COOK, IL",1,Chicago
79,0,1,1,17031,COOK,IL,4014,0.250901118745,14,"COOK, IL",1,Chicago
80,0,1,1,17031,COOK,IL,4014,0.25002771893,14,"COOK, IL",1,Chicago
