TAZ,cbd,chicago,cmap,CountyFIPS,county,state,township,sqmi,Mesozone,county_state,DistrictNum,DistrictName
81,0,1,1,17031,COOK,IL,4014,0.24992850274,14,"COOK, IL",1,Chicago
82,0,1,1,17031,COOK,IL,4014,0.251721419552,14,"COOK, IL",1,Chicago
83,0,1,1,17031,COOK,IL,4014,0.312093915738,14,"COOK, IL",1,Chicago
84,0,1,1,17031,COOK,IL,4014,0.256463855867,14,"COOK, IL",1,Chicago
85,0,1,1,17031,COOK,IL,4014,0.250898014496,14,"COOK, IL",1,Chicago
86,0,1,1,17031,COOK,IL,4014,0.250164644632,14,"COOK, IL",1,Chicago
87,0,1,1,17031,COOK,IL,4014,0.250069093996,14,"COOK, IL",1,Chicago
88,0,1,1,17031,COOK,IL,4014,0.251385009058,14,"COOK, IL",1,Chicago
89,0,1,1,17031,COOK,IL,4014,0.454496081948,14,"COOK, IL",1,Chicago
90,0,1,1,17031,COOK,IL,3914,0.257601693567,17,"COOK, IL",1,Chicago
91,0,1,1,17031,COOK,IL,3914,0.25117831461,17,"COOK, IL",1,Chicago
92,0,1,1,17031,COOK,IL,3914,0.255212765048,17,"COOK, IL",1,Chicago
93,0,1,1,17031,COOK,IL,3914,0.249874574302,17,"COOK, IL",1,Chicago
94,0,1,1,17031,COOK,IL,3914,0.257795183435,17,"COOK, IL",1,Chicago
95,0,1,1,17031,COOK,IL,3914,0.252195558537,17,"COOK, IL",1,Chicago
96,0,1,1,17031,COOK,IL,3914,0.259019000431,17,"COOK, IL",1,Chicago
97,0,1,1,17031,COOK,IL,3914,0.252154726666,17,"COOK, IL",1,Chicago
98,0,1,1,17031,COOK,IL,3914,0.259824667743,17,"COOK, IL",1,Chicago
99,0,1,1,17031,COOK,IL,3914,0.252453411572,17,"COOK, IL",1,Chicago
100,0,1,1,17031,COOK,IL,3914,0.260213372098,17,"COOK, IL",1,Chicago
101,0,1,1,17031,COOK,IL,3914,0.252435818731,17,"COOK, IL",1,Chicago
102,0,1,1,17031,COOK,IL,3914,0.258576871924,17,"COOK, IL",1,Chicago
103,0,1,1,17031,COOK,IL,3914,0.250654744695,17,"COOK, IL",1,Chicago
104,0,1,1,17031,COOK,IL,3914,0.256963922058,17,"COOK, IL",1,Chicago
105,0,1,1,17031,COOK,IL,3914,0.250638497659,17,"COOK, IL",1,Chicago
106,0,1,1,17031,COOK,IL,3914,0.253428344203,17,"COOK, IL",1,Chicago
107,0,1,1,17031,COOK,IL,3914,0.250055653059,17,"COOK, IL",1,Chicago
108,0,1,1,17031,COOK,IL,3914,0.252273266462,17,"COOK, IL",1,Chicago
109,0,1,1,17031,COOK,IL,3914,0.2528288048,17,"COOK, IL",1,Chicago
110,0,1,1,17031,COOK,IL,3914,0.251690974216,17,"COOK, IL",1,Chicago
111,0,1,1,17031,COOK,IL,3914,0.251604587838,17,"COOK, IL",1,Chicago
112,0,1,1,17031,COOK,IL,3914,0.251354751783,17,"COOK, IL",1,Chicago
113,0,1,1,17031,COOK,IL,3914,0.258217568613,17,"COOK, IL",1,Chicago
114,0,1,1,17031,COOK,IL,3914,0.250092652082,17,"COOK, IL",1,Chicago
115,0,1,1,17031,COOK,IL,3914,0.25005643782,17,"COOK, IL",1,Chicago
116,0,1,1,17031,COOK,IL,3914,0.252047610933,17,"COOK, IL",1,Chicago
117,0,1,1,17031,COOK,IL,3914,0.252602383119,17,"COOK, IL",1,Chicago
118,0,1,1,17031,COOK,IL,3914,0.252531422321,17,"COOK, IL",1,Chicago
119,0,1,1,17031,COOK,IL,3914,0.252453390976,17,"COOK, IL",1,Chicago
120,0,1,1,17031,COOK,IL,3914,0.250842540538,17,"COOK, IL",1,Chicago
121,0,1,1,17031,COOK,IL,3914,0.294953292888,17,"COOK, IL",1,Chicago
122,0,1,1,17031,COOK,IL,4111,1.00448038656,8,"COOK, IL",1,Chicago
123,0,1,1,17031,COOK,IL,4112,0.846757257585,12,"COOK, IL",1,Chicago
124,0,1,1,17031,COOK,IL,4112,0.996522209869,12,"COOK, IL",1,Chicago
125,0,1,1,17031,COOK,IL,4012,2.60185005041,12,"COOK, IL",1,Chicago
126,0,1,1,17031,COOK,IL,4012,1.50984996169,12,"COOK, IL",1,Chicago
127,0,1,1,17031,COOK,IL,4012,0.809289450959,12,"COOK, IL",1,Chicago
128,0,1,1,17031,COOK,IL,4012,0.748149684414,12,"COOK, IL",1,Chicago
129,0,1,1,17031,COOK,IL,4012,0.792761128575,12,"COOK, IL",1,Chicago
130,0,1,1,17031,COOK,IL,4012,0.998485670443,12,"COOK, IL",1,Chicago
131,0,1,1,17031,COOK,IL,4012,0.254109707766,12,"COOK, IL",1,Chicago
132,0,1,1,17031,COOK,IL,4012,0.254151492027,12,"COOK, IL",1,Chicago
133,0,1,1,17031,COOK,IL,4012,1.03181161081,12,"COOK, IL",1,Chicago
134,0,1,1,17031,COOK,IL,4012,0.254457046553,12,"COOK, IL",1,Chicago
135,0,1,1,17031,COOK,IL,4012,0.254163037398,12,"COOK, IL",1,Chicago
136,0,1,1,17031,COOK,IL,4012,0.254766994285,12,"COOK, IL",1,Chicago
137,0,1,1,17031,COOK,IL,4012,1.04071385683,12,"COOK, IL",1,Chicago
138,0,1,1,17031,COOK,IL,4012,1.00952601566,12,"COOK, IL",1,Chicago
139,0,1,1,17031,COOK,IL,4012,1.02018516765,12,"COOK, IL",1,Chicago
140,0,1,1,17031,COOK,IL,4012,1.00225657212,12,"COOK, IL",1,Chicago
141,0,1,1,17031,COOK,IL,4112,0.251444061368,9,"COOK, IL",1,Chicago
142,0,1,1,17031,COOK,IL,4112,0.250906722756,9,"COOK, IL",1,Chicago
143,0,1,1,17031,COOK,IL,4112,0.250408856324,9,"COOK, IL",1,Chicago
144,0,1,1,17031,COOK,IL,4112,0.250093086878,9,"COOK, IL",1,Chicago
145,0,1,1,17031,COOK,IL,4112,0.250031593455,9,"COOK, IL",1,Chicago
146,0,1,1,17031,COOK,IL,4112,0.250368918061,9,"COOK, IL",1,Chicago
147,0,1,1,17031,COOK,IL,4012,0.25478849938,12,"COOK, IL",1,Chicago
148,0,1,1,17031,COOK,IL,4012,0.254803797581,12,"COOK, IL",1,Chicago
149,0,1,1,17031,COOK,IL,4012,0.29085077266,12,"COOK, IL",1,Chicago
150,0,1,1,17031,COOK,IL,4012,0.290190585646,12,"COOK, IL",1,Chicago
151,0,1,1,17031,COOK,IL,4012,1.01486163836,12,"COOK, IL",1,Chicago
152,0,1,1,17031,COOK,IL,4012,1.02244537442,12,"COOK, IL",1,Chicago
153,0,1,1,17031,COOK,IL,4012,0.253510540843,12,"COOK, IL",1,Chicago
154,0,1,1,17031,COOK,IL,4113,0.255072169309,10,"COOK, IL",1,Chicago
155,0,1,1,17031,COOK,IL,4113,0.251902665238,10,"COOK, IL",1,Chicago
156,0,1,1,17031,COOK,IL,4113,0.252433038502,10,"COOK, IL",1,Chicago
157,0,1,1,17031,COOK,IL,4113,0.251002106109,10,"COOK, IL",1,Chicago
158,0,1,1,17031,COOK,IL,4113,0.25167614192,10,"COOK, IL",1,Chicago
159,0,1,1,17031,COOK,IL,4113,0.251770753616,10,"COOK, IL",1,Chicago
1160,0,0,1,17031,COOK,IL,4113,0.254913558152,10,"COOK, IL",2,"COOK, IL (Outside Chicago)"
160,0,1,1,17031,COOK,IL,4113,0.256589581062,10,"COOK, IL",1,Chicago
161,0,1,1,17031,COOK,IL,4113,0.241422201046,10,"COOK, IL",1,Chicago
162,0,1,1,17031,COOK,IL,4113,0.242275561646,10,"COOK, IL",1,Chicago
163,0,1,1,17031,COOK,IL,4114,0.241716642534,11,"COOK, IL",1,Chicago
164,0,1,1,17031,COOK,IL,4114,0.248267126953,11,"COOK, IL",1,Chicago
165,0,1,1,17031,COOK,IL,4114,0.24177948643,11,"COOK, IL",1,Chicago
166,0,1,1,17031,COOK,IL,4114,0.428422131503,11,"COOK, IL",1,Chicago
167,0,1,1,17031,COOK,IL,4113,0.244692584417,10,"COOK, IL",1,Chicago
168,0,1,1,17031,COOK,IL,4113,0.249019146788,10,"COOK, IL",1,Chicago
169,0,1,1,17031,COOK,IL,4113,0.243810325383,10,"COOK, IL",1,Chicago
170,0,1,1,17031,COOK,IL,4113,0.248126633583,10,"COOK, IL",1,Chicago
171,0,1,1,17031,COOK,IL,4114,0.251990519097,11,"COOK, IL",1,Chicago
172,0,1,1,17031,COOK,IL,4114,0.254226704023,11,"COOK, IL",1,Chicago
173,0,1,1,17031,COOK,IL,4114,0.254650290103,11,"COOK, IL",1,Chicago
174,0,1,1,17031,COOK,IL,4114,0.251945373028,11,"COOK, IL",1,Chicago
175,0,1,1,17031,COOK,IL,4114,0.253151435763,11,"COOK, IL",1,Chicago
176,0,1,1,17031,COOK,IL,4114,0.130580908153,11,"COOK, IL",1,Chicago
177,0,1,1,17031,COOK,IL,4114,0.252894869675,11,"COOK, IL",1,Chicago
178,0,1,1,17031,COOK,IL,4114,0.172911702179,11,"COOK, IL",1,Chicago
179,0,1,1,17031,COOK,IL,4013,0.247154354112,13,"COOK, IL",1,Chicago
180,0,1,1,17031,COOK,IL,4013,0.246017517784,13,"COOK, IL",1,Chicago
181,0,1,1,17031,COOK,IL,4013,0.247607532534,13,"COOK, IL",1,Chicago
182,0,1,1,17031,COOK,IL,4013,0.249855402822,13,"COOK, IL",1,Chicago
183,0,1,1,17031,COOK,IL,4013,0.249459303256,13,"COOK, IL",1,Chicago
184,0,1,1,17031,COOK,IL,4013,0.246255512615,13,"COOK, IL",1,Chicago
185,0,1,1,17031,COOK,IL,4013,0.2437903031,13,"COOK, IL",1,Chicago
186,0,1,1,17031,COOK,IL,4013,0.249455541034,13,"COOK, IL",1,Chicago
187,0,1,1,17031,COOK,IL,4013,0.260478678674,13,"COOK, IL",1,Chicago
188,0,1,1,17031,COOK,IL,4013,0.257677808465,13,"COOK, IL",1,Chicago
189,0,1,1,17031,COOK,IL,4013,0.252547853697,13,"COOK, IL",1,Chicago
190,0,1,1,17031,COOK,IL,4013,0.257644682014,13,"COOK, IL",1,Chicago
191,0,1,1,17031,COOK,IL,4013,0.251560397909,13,"COOK, IL",1,Chicago
192,0,1,1,17031,COOK,IL,4013,0.253428090008,13,"COOK, IL",1,Chicago
193,0,1,1,17031,COOK,IL,4013,0.258014431788,13,"COOK, IL",1,Chicago
194,0,1,1,17031,COOK,IL,4013,0.253469613364,13,"COOK, IL",1,Chicago
195,0,1,1,17031,COOK,IL,4013,0.252512936764,13,"COOK, IL",1,Chicago
196,0,1,1,17031,COOK,IL,4013,0.249354604537,13,"COOK, IL",1,Chicago
197,0,1,1,17031,COOK,IL,4013,0.251135924777,13,"COOK, IL",1,Chicago
198,0,1,1,17031,COOK,IL,4013,0.251195016642,13,"COOK, IL",1,Chicago
199,0,1,1,17031,COOK,IL,4013,0.249439496926,13,"COOK, IL",1,Chicago
200,0,1,1,17031,COOK,IL,4013,0.252105952057,13,"COOK, IL",1,Chicago
201,0,1,1,17031,COOK,IL,4013,0.250720616056,13,"COOK, IL",1,Chicago
202,0,1,1,17031,COOK,IL,4013,0.250732261316,13,"COOK, IL",1,Chicago
203,0,1,1,17031,COOK,IL,4013,0.989950356784,13,"COOK, IL",1,Chicago
204,0,1,1,17031,COOK,IL,4013,0.249750649531,13,"COOK, IL",1,Chicago
205,0,1,1,17031,COOK,IL,4013,0.292204650375,13,"COOK, IL",1,Chicago
206,0,1,1,17031,COOK,IL,4013,0.249535052308,13,"COOK, IL",1,Chicago
207,0,1,1,17031,COOK,IL,4013,0.248245923266,13,"COOK, IL",1,Chicago
208,0,1,1,17031,COOK,IL,4013,0.254778104666,13,"COOK, IL",1,Chicago
209,0,1,1,17031,COOK,IL,4013,0.266747781275,13,"COOK, IL",1,Chicago
210,0,1,1,17031,COOK,IL,4013,0.27524259772,13,"COOK, IL",1,Chicago
211,0,1,1,17031,COOK,IL,4013,0.267935193809,13,"COOK, IL",1,Chicago
212,0,1,1,17031,COOK,IL,4013,0.253744687131,13,"COOK, IL",1,Chicago
213,0,1,1,17031,COOK,IL,4013,0.509713206776,13,"COOK, IL",1,Chicago
214,0,1,1,17031,COOK,IL,4013,0.254324834797,13,"COOK, IL",1,Chicago
215,0,1,1,17031,COOK,IL,4013,0.252663729384,13,"COOK, IL",1,Chicago
216,0,1,1,17031,COOK,IL,4013,0.252736680998,13,"COOK, IL",1,Chicago
217,0,1,1,17031,COOK,IL,4013,0.252999712677,13,"COOK, IL",1,Chicago
218,0,1,1,17031,COOK,IL,4013,0.253091947359,13,"COOK, IL",1,Chicago
219,0,1,1,17031,COOK,IL,4013,0.253082697669,13,"COOK, IL",1,Chicago
220,0,1,1,17031,COOK,IL,4013,0.252395723252,13,"COOK, IL",1,Chicago
221,0,1,1,17031,COOK,IL,4013,0.253353398993,13,"COOK, IL",1,Chicago
222,0,1,1,17031,COOK,IL,4013,0.252095540173,13,"COOK, IL",1,Chicago
223,0,1,1,17031,COOK,IL,4013,0.276669213892,13,"COOK, IL",1,Chicago
224,0,1,1,17031,COOK,IL,4013,0.29063951353,13,"COOK, IL",1,Chicago
225,0,1,1,17031,COOK,IL,4013,1.06058894625,13,"COOK, IL",1,Chicago
226,0,1,1,17031,COOK,IL,4013,0.25678737959,13,"COOK, IL",1,Chicago
227,0,1,1,17031,COOK,IL,4013,0.256937912145,13,"COOK, IL",1,Chicago
228,0,1,1,17031,COOK,IL,4013,0.25690042804,13,"COOK, IL",1,Chicago
229,0,1,1,17031,COOK,IL,4013,0.257063196444,13,"COOK, IL",1,Chicago
230,0,1,1,17031,COOK,IL,4013,0.255368293717,13,"COOK, IL",1,Chicago
231,0,1,1,17031,COOK,IL,4013,0.255685996215,13,"COOK, IL",1,Chicago
232,0,1,1,17031,COOK,IL,4013,0.255044432198,13,"COOK, IL",1,Chicago
233,0,1,1,17031,COOK,IL,4013,0.25535498954,13,"COOK, IL",1,Chicago
234,0,1,1,17031,COOK,IL,4013,0.253231941487,13,"COOK, IL",1,Chicago
235,0,1,1,17031,COOK,IL,4013,0.253865765411,13,"COOK, IL",1,Chicago
236,0,1,1,17031,COOK,IL,4013,0.253691664174,13,"COOK, IL",1,Chicago
237,0,1,1,17031,COOK,IL,4013,0.253401760457,13,"COOK, IL",1,Chicago
238,0,1,1,17031,COOK,IL,4013,0.254740996455,13,"COOK, IL",1,Chicago
239,0,1,1,17031,COOK,IL,4013,0.253977821021,13,"COOK, IL",1,Chicago
240,0,1,1,17031,COOK,IL,4013,0.254448832606,13,"COOK, IL",1,Chicago
241,0,1,1,17031,COOK,IL,4013,0.253658081083,13,"COOK, IL",1,Chicago
242,0,1,1,17031,COOK,IL,4013,0.287318328781,13,"COOK, IL",1,Chicago
243,0,1,1,17031,COOK,IL,4013,0.287043214882,13,"COOK, IL",1,Chicago
244,0,1,1,17031,COOK,IL,4013,0.252502041353,13,"COOK, IL",1,Chicago
245,0,1,1,17031,COOK,IL,4013,0.252509732723,13,"COOK, IL",1,Chicago
246,0,1,1,17031,COOK,IL,4013,0.253537164399,13,"COOK, IL",1,Chicago
247,0,1,1,17031,COOK,IL,4013,0.253614309619,13,"COOK, IL",1,Chicago
248,0,1,1,17031,COOK,IL,4013,0.253425079778,13,"COOK, IL",1,Chicago
249,0,1,1,17031,COOK,IL,4013,0.253683882284,13,"COOK, IL",1,Chicago
250,0,1,1,17031,COOK,IL,4013,0.255238632227,13,"COOK, IL",1,Chicago
251,0,1,1,17031,COOK,IL,4013,0.255964004405,13,"COOK, IL",1,Chicago
252,0,1,1,17031,COOK,IL,4013,0.256141311247,13,"COOK, IL",1,Chicago
253,0,1,1,17031,COOK,IL,4013,0.255079528065,13,"COOK, IL",1,Chicago
254,0,1,1,17031,COOK,IL,4013,0.255078687275,13,"COOK, IL",1,Chicago
255,0,1,1,17031,COOK,IL,4013,0.255929103823,13,"COOK, IL",1,Chicago
256,0,1,1,17031,COOK,IL,4013,0.255660359909,13,"COOK, IL",1,Chicago
257,0,1,1,17031,COOK,IL,4013,0.255377605712,13,"COOK, IL",1,Chicago
258,0,1,1,17031,COOK,IL,4013,0.253469313065,13,"COOK, IL",1,Chicago
259,0,1,1,17031,COOK,IL,4013,0.253152309828,13,"COOK, IL",1,Chicago
260,0,1,1,17031,COOK,IL,4013,0.253430998189,13,"COOK, IL",1,Chicago
261,0,1,1,17031,COOK,IL,4013,0.253761474556,13,"COOK, IL",1,Chicago
262,0,1,1,17031,COOK,IL,4013,0.253477291906,13,"COOK, IL",1,Chicago
263,0,1,1,17031,COOK,IL,4013,0.25382896276,13,"COOK, IL",1,Chicago
264,0,1,1,17031,COOK,IL,4013,0.253900067068,13,"COOK, IL",1,Chicago
265,0,1,1,17031,COOK,IL,4013,0.254265043553,13,"COOK, IL",1,Chicago
266,0,1,1,17031,COOK,IL,4013,0.251544405968,13,"COOK, IL",1,Chicago
267,0,1,1,17031,COOK,IL,4013,0.251518134905,13,"COOK, IL",1,Chicago
268,0,1,1,17031,COOK,IL,4013,0.284779016266,13,"COOK, IL",1,Chicago
269,0,1,1,17031,COOK,IL,4013,0.285827121043,13,"COOK, IL",1,Chicago
270,0,1,1,17031,COOK,IL,4013,1.01274077222,13,"COOK, IL",1,Chicago
271,0,1,1,17031,COOK,IL,4013,1.02172309911,13,"COOK, IL",1,Chicago
272,0,1,1,17031,COOK,IL,4013,0.254373543301,13,"COOK, IL",1,Chicago
273,0,1,1,17031,COOK,IL,4013,0.255727862615,13,"COOK, IL",1,Chicago
274,0,1,1,17031,COOK,IL,4013,0.255586317719,13,"COOK, IL",1,Chicago
275,0,1,1,17031,COOK,IL,4013,0.254528893255,13,"COOK, IL",1,Chicago
276,0,1,1,17031,COOK,IL,4013,0.25386677579,13,"COOK, IL",1,Chicago
277,0,1,1,17031,COOK,IL,4013,0.254145389713,13,"COOK, IL",1,Chicago
278,0,1,1,17031,COOK,IL,4013,0.25390069561,13,"COOK, IL",1,Chicago
279,0,1,1,17031,COOK,IL,4013,0.254184540927,13,"COOK, IL",1,Chicago
280,0,1,1,17031,COOK,IL,4013,0.253975780613,13,"COOK, IL",1,Chicago
281,0,1,1,17031,COOK,IL,4013,0.254593668213,13,"COOK, IL",1,Chicago
282,0,1,1,17031,COOK,IL,4013,0.253744802625,13,"COOK, IL",1,Chicago
283,0,1,1,17031,COOK,IL,4013,0.254334465773,13,"COOK, IL",1,Chicago
284,0,1,1,17031,COOK,IL,4013,0.252598789299,13,"COOK, IL",1,Chicago
285,0,1,1,17031,COOK,IL,4013,0.252601313981,13,"COOK, IL",1,Chicago
286,0,1,1,17031,COOK,IL,4013,0.289447598719,13,"COOK, IL",1,Chicago
287,0,1,1,17031,COOK,IL,4013,0.289044369472,13,"COOK, IL",1,Chicago
288,0,1,1,17031,COOK,IL,4013,0.253028582886,13,"COOK, IL",1,Chicago
289,0,1,1,17031,COOK,IL,4013,0.253514677388,13,"COOK, IL",1,Chicago
290,0,1,1,17031,COOK,IL,4013,0.253265230268,13,"COOK, IL",1,Chicago
291,0,1,1,17031,COOK,IL,4013,0.253153757924,13,"COOK, IL",1,Chicago
292,0,1,1,17031,COOK,IL,4013,0.255238658019,13,"COOK, IL",1,Chicago
293,0,1,1,17031,COOK,IL,4013,0.2538040391,13,"COOK, IL",1,Chicago
294,0,1,1,17031,COOK,IL,4013,0.253698714082,13,"COOK, IL",1,Chicago
295,0,1,1,17031,COOK,IL,4013,0.255145889094,13,"COOK, IL",1,Chicago
296,0,1,1,17031,COOK,IL,4013,0.254413083364,13,"COOK, IL",1,Chicago
297,0,1,1,17031,COOK,IL,4013,0.255251684391,13,"COOK, IL",1,Chicago
298,0,1,1,17031,COOK,IL,4013,0.255459086405,13,"COOK, IL",1,Chicago
299,0,1,1,17031,COOK,IL,4013,0.25421819555,13,"COOK, IL",1,Chicago
300,0,1,1,17031,COOK,IL,4013,0.254289408477,13,"COOK, IL",1,Chicago
301,0,1,1,17031,COOK,IL,4013,0.253751280034,13,"COOK, IL",1,Chicago
302,0,1,1,17031,COOK,IL,4013,0.254089484697,13,"COOK, IL",1,Chicago
303,0,1,1,17031,COOK,IL,4013,0.253936817122,13,"COOK, IL",1,Chicago
304,0,1,1,17031,COOK,IL,4013,0.252725360426,13,"COOK, IL",1,Chicago
305,0,1,1,17031,COOK,IL,4013,0.252361162826,13,"COOK, IL",1,Chicago
306,0,1,1,17031,COOK,IL,4013,0.252364243978,13,"COOK, IL",1,Chicago
