COUNTY,MESOZONE
17031,1
17031,2
17031,3
17031,4
17031,5
17031,6
17031,7
17031,8
17031,9
17031,10
17031,11
17031,12
17031,13
17031,14
17031,15
17031,16
17031,17
17031,18
17031,19
17031,20
17031,21
17031,22
17031,23
17031,24
17031,25
17031,26
17031,27
17031,28
17031,29
17111,30
17111,31
17111,32
17111,33
17111,34
17111,35
17111,36
17111,37
17111,38
17111,39
17111,40
17111,41
17111,42
17111,43
17111,44
17111,45
17097,46
17097,47
17097,48
17097,49
17097,50
17097,51
17097,52
17097,53
17097,54
17097,55
17097,56
17097,57
17097,58
17097,59
17097,60
17097,61
17089,62
17089,63
17089,64
17089,65
17089,66
17089,67
17089,68
17089,69
17089,70
17089,71
17089,72
17089,73
17089,74
17089,75
17089,76
17043,77
17043,78
17043,79
17043,80
17043,81
17043,82
17043,83
17043,84
17043,85
17043,86
17197,87
17197,88
17197,89
17197,90
17197,91
17197,92
17197,93
17197,94
17197,95
17197,96
17197,97
17197,98
17197,99
17197,100
17197,101
17197,102
17197,103
17197,104
17197,105
17197,106
17197,107
17197,108
17197,109
17093,110
17093,111
17093,112
17093,113
17093,114
17093,115
17093,116
17093,117
17093,118
17063,119
17007,120
17037,121
17091,122
17201,123
17141,124
17103,125
17099,126
18089,127
18127,128
18091,129
55059,130
55101,131
55127,132
